date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:45	494/494	---M--	200	added ('OK')	text/plain	etag:W/%221ee-wem8S9zNG3smnP/irV0NZVxdNLk%22	https://mbapepe/robots.txt		(from )
15:59:45	323144/323144	---MCZ	200	added ('OK')	text/html	etag:W/%2269d22b3727df32182d5efb2abbe9cb08%22	https://mbapepe/	D:/Websites/mbapepe/mbapepe/index.html	(from )
15:59:46	60245/60245	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202024%2012:59:45%20GMT	https://static.wixstatic.com/media/1fba13_34259873c45a4e218ebb969b43497cbf~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/1fba13_34259873c45a4e218ebb969b43497cbf~mv2.png	D:/Websites/mbapepe/static.wixstatic.com/media/1fba13_34259873c45a4e218ebb969b43497cbf_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/1fba13_34259873c45a4e218ebb969b43497cbf_mv2.png	(from https://mbapepe/)
15:59:46	3310/3310	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202024%2012:59:45%20GMT	https://static.wixstatic.com/media/1fba13_34259873c45a4e218ebb969b43497cbf~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/1fba13_34259873c45a4e218ebb969b43497cbf~mv2.png	D:/Websites/mbapepe/static.wixstatic.com/media/1fba13_34259873c45a4e218ebb969b43497cbf_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/1fba13_34259873c45a4e218ebb969b43497cbf_mv2.png	(from https://mbapepe/)
15:59:46	53865/53865	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Apr%202024%2012:59:46%20GMT	https://static.wixstatic.com/media/1fba13_34259873c45a4e218ebb969b43497cbf~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/1fba13_34259873c45a4e218ebb969b43497cbf~mv2.png	D:/Websites/mbapepe/static.wixstatic.com/media/1fba13_34259873c45a4e218ebb969b43497cbf_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/1fba13_34259873c45a4e218ebb969b43497cbf_mv2.png	(from https://mbapepe/)
15:59:46	559/559	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d1a493b511891ff2beb1359384eb679%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	D:/Websites/mbapepe/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.41d7301a.bundle.min.js	(from https://mbapepe/)
15:59:47	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Websites/mbapepe/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://mbapepe/)
15:59:47	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Websites/mbapepe/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://mbapepe/)
15:59:47	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2008%20Apr%202024%2012:59:46%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/Websites/mbapepe/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://mbapepe/)
15:59:48	3850/3850	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Apr%202024%2012:59:47%20GMT	https://static.wixstatic.com/media/1fba13_c94ae9b4d08c4d7384a5141cc825e5cef000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/1fba13_c94ae9b4d08c4d7384a5141cc825e5cef000.jpg	D:/Websites/mbapepe/static.wixstatic.com/media/1fba13_c94ae9b4d08c4d7384a5141cc825e5cef000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/1fba13_c94ae9b4d08c4d7384a5141cc825e5cef000.jpg	(from https://mbapepe/)
